Wed Jul  3 18:57:24 2024    profile.log

         15698096 function calls (15697873 primitive calls) in 111.642 seconds

   Ordered by: cumulative time per call

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:446(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:292(PurePath)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\logger.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\fnmatch.py:74(translate)
       21    0.000    0.000    0.001    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1502(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:343(__init__)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1914(IPv6Address)
        1    0.000    0.000    0.000    0.000 main.py:23(format_exception)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
   334105    2.160    0.000   10.967    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:121(fetch_instruction)
       33    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:511(_compile_info)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       34    0.000    0.000    0.001    0.000 C:\Program Files\Python312\Lib\ipaddress.py:2241(__init__)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:671(_BaseNetwork)
       26    0.000    0.000    0.001    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:460(__call__)
      5/1    0.000    0.000    0.000    0.000 main.py:16(trace_exc)
        1    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\pathlib.py:824(Path)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\uart.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
    59705    0.278    0.000    1.449    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:402(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:1(Decoder)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\__init__.py:255(escape)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:73(CFUNCTYPE)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       22    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:387(__init__)
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:389(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:383(_IPAddressBase)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1487(IPv4Network)
        8    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedRandom' objects}
    59722    0.230    0.000    1.063    0.000 C:\Users\Valentina\risc-v\devices\memory\address_bus.py:27(write)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\functools.py:188(total_ordering)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:446(FileHeader)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       31    0.000    0.000    0.001    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1286(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\conversions.py:33(convert_to_32_bit_unsigned_value)
